"","Threshold","power_narrow","dcy_indx","PXID"
"710","0.022","14226","1","PXD013274_2"
"711","0.023","14238","1","PXD013274_2"
"712","0.024","14242","1","PXD013274_2"
"713","0.025","14261","1","PXD013274_2"
"714","0.026","14277","1","PXD013274_2"
"715","0.027","14290","1","PXD013274_2"
"716","0.028","14297","1","PXD013274_2"
"717","0.029","14307","1","PXD013274_2"
"718","0.03","14321","1","PXD013274_2"
"719","0.031","14329","1","PXD013274_2"
"720","0.032","14348","1","PXD013274_2"
"721","0.033","14357","1","PXD013274_2"
"722","0.034","14368","1","PXD013274_2"
"723","0.035","14386","1","PXD013274_2"
"724","0.036","14395","1","PXD013274_2"
"725","0.037","14417","1","PXD013274_2"
"726","0.038","14435","1","PXD013274_2"
"727","0.039","14444","1","PXD013274_2"
"728","0.04","14455","1","PXD013274_2"
"729","0.041","14464","1","PXD013274_2"
"730","0.042","14480","1","PXD013274_2"
"731","0.043","14488","1","PXD013274_2"
"732","0.044","14492","1","PXD013274_2"
"733","0.045","14510","1","PXD013274_2"
