"","Threshold","power_open","dcy_indx","PXID"
"652","0.046","810","5","PXD006856"
"653","0.047","811","5","PXD006856"
"654","0.048","811","5","PXD006856"
"655","0.049","811","5","PXD006856"
"656","0.05","811","5","PXD006856"
"657","0.01","721","6","PXD006856"
"658","0.011","721","6","PXD006856"
"659","0.012","725","6","PXD006856"
"660","0.013","743","6","PXD006856"
"661","0.014","756","6","PXD006856"
"662","0.015","756","6","PXD006856"
"663","0.016","768","6","PXD006856"
"664","0.017","773","6","PXD006856"
"665","0.018","783","6","PXD006856"
"666","0.019","783","6","PXD006856"
"667","0.02","783","6","PXD006856"
"668","0.021","784","6","PXD006856"
"669","0.022","785","6","PXD006856"
"670","0.023","785","6","PXD006856"
"671","0.024","785","6","PXD006856"
"672","0.025","785","6","PXD006856"
"673","0.026","790","6","PXD006856"
"674","0.027","790","6","PXD006856"
"675","0.028","791","6","PXD006856"
"676","0.029","791","6","PXD006856"
"677","0.03","791","6","PXD006856"
"678","0.031","795","6","PXD006856"
"679","0.032","796","6","PXD006856"
"680","0.033","796","6","PXD006856"
"681","0.034","796","6","PXD006856"
"682","0.035","796","6","PXD006856"
"683","0.036","799","6","PXD006856"
"684","0.037","801","6","PXD006856"
"685","0.038","802","6","PXD006856"
"686","0.039","802","6","PXD006856"
"687","0.04","806","6","PXD006856"
"688","0.041","806","6","PXD006856"
"689","0.042","806","6","PXD006856"
"690","0.043","808","6","PXD006856"
"691","0.044","811","6","PXD006856"
"692","0.045","813","6","PXD006856"
"693","0.046","813","6","PXD006856"
"694","0.047","815","6","PXD006856"
"695","0.048","816","6","PXD006856"
"696","0.049","817","6","PXD006856"
"697","0.05","817","6","PXD006856"
"698","0.01","745","7","PXD006856"
"699","0.011","745","7","PXD006856"
"700","0.012","745","7","PXD006856"
"701","0.013","746","7","PXD006856"
"702","0.014","752","7","PXD006856"
"703","0.015","756","7","PXD006856"
"704","0.016","774","7","PXD006856"
"705","0.017","776","7","PXD006856"
"706","0.018","778","7","PXD006856"
"707","0.019","778","7","PXD006856"
"708","0.02","778","7","PXD006856"
"709","0.021","780","7","PXD006856"
"710","0.022","780","7","PXD006856"
"711","0.023","783","7","PXD006856"
"712","0.024","783","7","PXD006856"
"713","0.025","784","7","PXD006856"
"714","0.026","786","7","PXD006856"
"715","0.027","786","7","PXD006856"
"716","0.028","786","7","PXD006856"
"717","0.029","786","7","PXD006856"
"718","0.03","786","7","PXD006856"
"719","0.031","786","7","PXD006856"
"720","0.032","786","7","PXD006856"
"721","0.033","788","7","PXD006856"
"722","0.034","788","7","PXD006856"
"723","0.035","790","7","PXD006856"
"724","0.036","791","7","PXD006856"
"725","0.037","793","7","PXD006856"
"726","0.038","793","7","PXD006856"
"727","0.039","793","7","PXD006856"
"728","0.04","793","7","PXD006856"
"729","0.041","796","7","PXD006856"
"730","0.042","799","7","PXD006856"
"731","0.043","799","7","PXD006856"
"732","0.044","809","7","PXD006856"
"733","0.045","811","7","PXD006856"
"734","0.046","815","7","PXD006856"
"735","0.047","824","7","PXD006856"
"736","0.048","825","7","PXD006856"
"737","0.049","832","7","PXD006856"
"738","0.05","832","7","PXD006856"
"739","0.01","730","8","PXD006856"
"740","0.011","754","8","PXD006856"
"741","0.012","769","8","PXD006856"
"742","0.013","777","8","PXD006856"
"743","0.014","777","8","PXD006856"
"744","0.015","777","8","PXD006856"
"745","0.016","777","8","PXD006856"
"746","0.017","781","8","PXD006856"
"747","0.018","793","8","PXD006856"
"748","0.019","807","8","PXD006856"
"749","0.02","808","8","PXD006856"
"750","0.021","808","8","PXD006856"
"751","0.022","809","8","PXD006856"
"752","0.023","815","8","PXD006856"
"753","0.024","818","8","PXD006856"
"754","0.025","818","8","PXD006856"
"755","0.026","818","8","PXD006856"
"756","0.027","818","8","PXD006856"
"757","0.028","818","8","PXD006856"
"758","0.029","818","8","PXD006856"
"759","0.03","818","8","PXD006856"
"760","0.031","822","8","PXD006856"
"761","0.032","828","8","PXD006856"
"762","0.033","828","8","PXD006856"
"763","0.034","833","8","PXD006856"
"764","0.035","835","8","PXD006856"
"765","0.036","835","8","PXD006856"
"766","0.037","835","8","PXD006856"
"767","0.038","835","8","PXD006856"
"768","0.039","835","8","PXD006856"
"769","0.04","835","8","PXD006856"
"770","0.041","836","8","PXD006856"
